Person A,Person B,Connection,Source(s),Type
ANDREW BREMBERG,MIKE FERGUSON,"Bremberg ""is a lifelong friend"" of Ferguson, a former U.S. House representative, per Stat",https://www.statnews.com/2016/11/15/trump-influencers-health-care/,"Bremberg ""is a lifelong friend"" of Ferguson, a former U.S. House representative, per Stat"
ANDREW BREMBERG,MITCH MCCONNELL,Policy advisor and counsel on nominations,https://www.linkedin.com/in/andrew-bremberg-7170938,Policy advisor and counsel on nominations
ANDREW BREMBERG,SCOTT WALKER,Policy director for Walker's campaign,http://www.modernhealthcare.com/article/20161111/NEWS/161119989?utm_source=modernhealthcare&utm_medium=email&utm_content=20161111-NEWS-161119989&utm_campaign=mh-alert,Policy director for Walker's campaign
ANDY PUZDER,WILLIAM P. FOLEY,"Worked together on deal to turn around debts of Carl's Jr. founder, which was a major success in Puzder's career",http://www.insidesources.com/meet-the-fast-food-ceo-trump-picked-as-labor-secretary/,"Worked together on deal to turn around debts of Carl's Jr. founder, which was a major success in Puzder's career"
CARTER PAGE,DONALD J. TRUMP,Foreign policy adviser,General knowledge,Foreign policy adviser
CHARLES KUSHNER,ALAN HAMMER,"has long worked with Kushner, per New York Magazine",http://nymag.com/daily/intelligencer/2017/01/jared-kushner-trump-administration-power.html,"has long worked with Kushner, per New York Magazine"
CHARLES KUSHNER,ESTHER KUSHNER,Siblings,http://nymag.com/daily/intelligencer/2017/01/jared-kushner-trump-administration-power.html,family
CHARLES KUSHNER,JIM MCGREEVEY,"the financial force behind the former governor's campaign, per New York Magazine",http://nymag.com/daily/intelligencer/2017/01/jared-kushner-trump-administration-power.html,"the financial force behind the former governor's campaign, per New York Magazine"
CHARLES KUSHNER,MURRAY KUSHNER,Siblings,http://nymag.com/daily/intelligencer/2017/01/jared-kushner-trump-administration-power.html,family
CHRIS CHRISTIE,DAVID WILDSTEIN,"Christie and Wildstein went to high school together, and Christie appointed Wildstein to a director position at the Port Authority",http://nymag.com/daily/intelligencer/2016/09/david-wildstein-chris-christie-bridgegate-trial.html,"Christie and Wildstein went to high school together, and Christie appointed Wildstein to a director position at the Port Authority"
DONALD J. TRUMP,ALEX SHNAIDER,"Trump’s primary partner for his lucrative business in Canada, per Newsweek",http://www.newsweek.com/2016/09/23/donald-trump-foreign-business-deals-national-security-498081.html,"Trump’s primary partner for his lucrative business in Canada, per Newsweek"
DONALD J. TRUMP,ANDREW BREMBERG,Domestic policy advisor,General knowledge,Domestic policy advisor
DONALD J. TRUMP,ANDY PUZDER,Nominee for Secretary of Labor,General knowledge,Nominee for Secretary of Labor
DONALD J. TRUMP,ARAS AGALAROV,"The billionaire real estate developer says he befriended Trump, and also has served as a liaison between Trump and Putin",https://www.washingtonpost.com/politics/inside-trumps-financial-ties-to-russia-and-his-unusual-flattery-of-vladimir-putin/2016/06/17/dbdcaac8-31a6-11e6-8ff7-7b6c1998b7a0_story.html | http://www.forbes.com/profile/aras-agalarov/,"The billionaire real estate developer says he befriended Trump, and also has served as a liaison between Trump and Putin"
DONALD J. TRUMP,BEN CARSON,Nominee for Secretary of HUD,General knowledge,Nominee for Secretary of HUD
DONALD J. TRUMP,BETSY DEVOS,Nominee for Secretary of Education,General knowledge,Nominee for Secretary of Education
DONALD J. TRUMP,DAN COATS,Nominee for Director of National Intelligence,General knowledge,Nominee for Director of National Intelligence
DONALD J. TRUMP,DON MCGAHN,White House Counsel,General knowledge,White House Counsel
DONALD J. TRUMP,DONALD TRUMP JR.,Parent/child,General knowledge,family
DONALD J. TRUMP,ELAINE CHAO,Nominee for Secretary of Transportation,General knowledge,Nominee for Secretary of Transportation
DONALD J. TRUMP,ELENA GORLOVA,Gorlova bought a Trump penthouse in Florida,https://www.washingtonpost.com/politics/in-little-moscow-russians-helped-donald-trumps-brand-survive-the-recession/2016/11/04/f9dbd38e-97cf-11e6-bb29-bf2701dbe0a3_story.html,Gorlova bought a Trump penthouse in Florida
DONALD J. TRUMP,EMIN AGALAROV,"The Russian pop singer, son of billionaire real estate developer Aras Agalarov, says he befriended Trump",https://www.washingtonpost.com/politics/inside-trumps-financial-ties-to-russia-and-his-unusual-flattery-of-vladimir-putin/2016/06/17/dbdcaac8-31a6-11e6-8ff7-7b6c1998b7a0_story.html,"The Russian pop singer, son of billionaire real estate developer Aras Agalarov, says he befriended Trump"
DONALD J. TRUMP,ERIC TRUMP,Parent/child,General knowledge,family
DONALD J. TRUMP,FELIPE YARYURA,The Argentine real estate developer is said to be friends with the Trump family,http://www.lanacion.com.ar/1955208-la-emocion-del-socio-argentino-de-trump,The Argentine real estate developer is said to be friends with the Trump family
DONALD J. TRUMP,GARY COHN,Director United States National Economic Council,General knowledge,Director United States National Economic Council
DONALD J. TRUMP,IVANKA TRUMP,Parent/child,General knowledge,family
DONALD J. TRUMP,JAMES MATTIS,Nominee for Secretary of Defense,General knowledge,Nominee for Secretary of Defense
DONALD J. TRUMP,JEFF SESSIONS,Nominee for Attorney General,General knowledge,Nominee for Attorney General
DONALD J. TRUMP,JOHN F. KELLY,Nominee for Secretary of Department of Homeland Security,General knowledge,Nominee for Secretary of Department of Homeland Security
