Id,Label
1,ALAN HAMMER
2,ALBERT ROSS SR.
3,ALEX SHNAIDER
4,ANDREW BREMBERG
5,ANDRIY ZAIKA
6,ANDY PUZDER
7,ARAS AGALAROV
8,ASHER ABEHSERA
9,AYDIN DOGAN
10,BEN CARSON
11,BERNARD R. DIAMOND
12,BETSY DEVOS
13,BOB DOLE
14,BONNIE HAYDON
15,CARTER PAGE
16,CHARLES KUSHNER
17,CHRIS CHRISTIE
18,DAN COATS
19,DAVID WILDSTEIN
20,DON MCGAHN
21,DONALD J. TRUMP
22,DONALD TRUMP JR.
23,ELAINE CHAO
24,ELENA GORLOVA
25,EMIN AGALAROV
26,ERIC TRUMP
27,ESTHER KUSHNER
28,FELIPE YARYURA
29,GARY COHN
30,GEORGE SOROS
31,GEORGE T. CONWAY III
32,H. B. HICKS
33,HAROLD G. HAMM
34,IVANKA TRUMP
35,JAMES MATTIS
36,JARED KUSHNER
37,JASON D. GREENBLATT
38,JEFF SESSIONS
39,JIM MCGREEVEY
40,JOHN F. KELLY
41,JOSE E.B. ANTONIO
42,JOSE ROBERTO ROBBIE ANTONIO
43,JOSHUA KUSHNER
44,KALPESH MEHTA
45,KATHLEEN TROIA MCFARLAND
46,KELLYANNE CONWAY
47,KEN KURSON
48,LEV LEVIEV
49,LINDA MCMAHON
50,LUCIUS JOSEPH RICCIO
51,MANGAL PRABHAT LODHA
52,MARGARET CHIN
53,MARK BURNETT
54,MARTIN SORRELL
55,MARYANNE TRUMP BARRY
56,MEHMET ALI YALCINDAG
57,MELANIA TRUMP
58,MICHAEL FLYNN
59,MICHAEL POMPEO
60,MICK MULVANEY
61,MIKE FERGUSON
62,MIKE PENCE
63,MILES BERGER
64,MITCH MCCONNELL
65,MURRAY KUSHNER
66,NIKKI HALEY
67,OLEG MISERVA
68,OMAROSê ONEE MANIGAULT
69,PAULO FIGUEIREDO FILHO
70,PETER HOLT
71,PRINCE ALWALEED BIN TALALTHE
72,RECEP TAYYIP ERDOGAN
73,REINCE PRIEBUS
74,REX TILLERSON
75,RHONA GRAFF RICCIO
76,RICHARD DEVOS
77,RICHARD LEFRAK
78,RICHARD MARVIN DICK DEVOS JR.
79,RICK PERRY
80,ROB SPEYER
81,ROBERT LIGHTHIZER
82,ROGER KHAFIF
83,ROMA DOWNEY
84,RUDY GIULIANI
85,RUSSELL FLICKER
86,RYAN ZINKE
87,SALLY PRIEBUS
88,SCOTT PRUITT
89,SCOTT WALKER
90,SEAN SPICER
91,SERGEY I. KISLYAK
92,SHANNON MCGAHN
93,STEPHEN BANNON
94,STEPHEN MILLER
95,STEVEN MNUCHIN
96,STRAUSS ZELNICK
97,SUSAN POMPEO
98,TOM BOSSERT
99,TOM PRICE
100,VANESSA TRUMP
101,VICTOR PINCHUK
102,VIKTOR TKACHUK
103,VLADIMIR PUTIN
104,WILBUR ROSS
105,WILLIAM P. FOLEY
106,WU XIAOHUI
107,ZHUO RAN
